Person ID number,Age,Gender,Education_yrs,Religion,Bats_increasing,Bats_decreasing,Bats_same,Contact,Past_eat_bat,Eat_bat,Past_catch_bats,Catch_bats,Prepare_eat,Past_mine_guano,Mine_guano,Leave_sick,Move_sick,Care_sick,Kill_sick,Give_sick,Eat_sick,Other_sick,Bat_harm_humans
154,50-59,M,11,Methodist,,b,,Yes,Yes,Will eat,Yes,No,Yes,No,No,,,,d,,f,,Yes
155,30-39,F,11,Methodist,a,,,NA,No,No,No,No,No,No,No,,,c,,,,,No
156,40-49,F,10,Methodist,,b,,No,Yes,Yes,Yes,Will go - same amount,Yes,No,No,a,,,,,,,No
157,60+,F,6,Anglican,,b,,Yes,Yes,Yes,Yes,No,Yes,No,No,a,,,,,,,No
158,40-49,F,11,Pentecostal,a,b,,No,Yes,Will eat,Yes,No,Yes,No,No,,,c,,,,,No
159,60+,M,8,No religion,a,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,a,,,,,,,No
160,60+,F,9,Methodist,a,,,No,Yes,Yes,No,No,No,No,No,a,,c,,,,,No
161,40-49,F,11,Catholic,a,,,Yes,Yes,Yes,No,No,Yes,No,No,a,,,,,,,No
162,50-59,F,7,Hindu,a,,,No,No,No,No,No,No,No,No,,,c,,,,,No
163,18-24,M,11,Christian,a,,,No,Yes,Yes,Yes,No,No,No,No,,,c,,,,,No
164,18-24,M,12,Catholic,,b,,Yes,Yes,No,No,No,No,No,No,a,,,,e,,,No
165,30-39,F,13+,Christian,,b,,No,Yes,No,No,No,No,No,No,a,,,,,,,No
166,25-29,M,12,Christian,,b,,No,No,No,Yes,No,No,No,No,a,,,,,,,No
167,50-59,M,9,Seventh-day Adventist,a,,,No,Yes,Will eat,Yes,No,Yes,No,No,,,,d,,f,,No
168,25-29,M,13+,Methodist,a,b,,No,Yes,No,Yes,No,No,No,No,,,c,,,,,No
169,40-49,F,13+,Methodist,,b,,No,No,No,No,No,No,Yes,Yes,,,,d,,,Bury it,Yes
170,30-39,F,11,Methodist,a,,,No,Yes,Will eat,No,No,Yes,No,No,a,,,,,,,No
171,18-24,F,11,Methodist,a,,,No,Yes,No,No,No,No,No,No,a,,,,,,,No
172,50-59,M,9,Hindu,,,c,No,No,No,No - but will join for the party,No,No,No,No,,,c,,,,,No
173,50-59,F,12,Methodist,a,,,No,Yes,No,No,No,No,No,No,,,c,,,,,No
174,40-49,F,12,Pentecostal,a,,,Yes,Yes,Yes,Yes,No,Yes,No,No,a,,,,,,,No
175,18-24,F,13+,Seventh-day Adventist,,,c,No,No,No,No,No,No,No,No,a,,,,,,,Yes
176,30-39,F,12,Other Christian,,,c,No,No,No,No,No,No,No,No,a,,,,,,,Yes
177,40-49,M,10,Other Christian,a,,,Yes,Yes,Yes,Yes,No,Yes,No,No,a,,,,,,,No
178,50-59,M,-,Methodist,a,,,Yes,Yes,Yes,Yes,No,Yes,- ,- ,a,,,,,,,No
179,30-39,M,10,Christian,a,,,Yes,Yes,No,Yes,No,Yes,No,No,a,,,,,,,Yes
180,60+,F,11,Christian,a,,,No,Yes,No,No - but will join for the party,No,Yes,No,No,,,c,d,,f,,No
181,30-39,F,8,Christian,a,,,No,Yes,No,No,No,No,No,No,a,,,,,,,No
182,50-59,F,8,Other Christian,a,,,Yes,Yes,Will eat,Yes,No,,Yes,Yes,,b,c,,,,,Yes
182,,,,,a,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,Yes
183,60+,M,13,Methodist,a,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,a,,,,,f,,Yes
183,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,
184,60+,M,8,Methodist,a,,,Yes,Yes,Yes,Yes,No - see notes,No,Yes,Yes,a,,,,,,,No
184,,,,,,,,,,Yes,Yes,,,,,,,,,,,,
185,25-29,M,10,Methodist,a,,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,b,,,,,,Yes
185,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,
186,30-39,F,12,Other Christian,a,,,No,No,No,Yes,No,No,No,No,a,,,,,,,Yes
187,30-39,M,13,Christian,a,,,Yes,Yes,No,Yes,No,Yes,No,No,,,c,,,,,Yes
188,25-29,M,12,Christian,,b,,Yes,Yes,No,No,No,No,No,No,,,c,,,,,Yes
189,40-49,M,13+,No religion,a,,,No,No,No,Yes,No,No,No,No,,,c,,,,,Yes
190,30-39,M,13+,Christian,a,b,,Yes,Yes,No,Yes,No,Yes,No,No,a,,c,,,,,Yes
191,30-39,F,10,Other Christian,a,,,Yes,Yes,No,No,No,Yes,No,No,a,,,,,,,No
192,50-59,M,10,Methodist,a,,,Yes,Yes,Yes,Yes,No,Yes,No,No,,,,d,,f,,Yes
193,25-29,F,13,Methodist,a,,,No,No,No,No,No,No,No,No,,,c,,,,,Yes
194,40-49,F,13+,Christian,a,,,Yes,No,No,No,No,No,No,No,,,c,,,,,Yes
195,25-29,F,13+,Methodist,,,c,Yes,Yes,No,No,No,Yes,No,No,a,,,,,,,No
196,50-59,M,9,Methodist,a,,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,d,,f,,No
197,40-49,M,12,Catholic,,b,,Yes,Yes,No,Yes,No,No,No,No,a,,,d,,,,Yes
198,25-29,M,13+,Methodist,,b,,No,No,No,No,No,No,No,No,a,,,,,,,No
